region,hemisphere,F_mean,p_value,p_value_std,sample_size,fraction_significant,count_significant,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high,std_p,std_p_low,std_p_high,proba_significant,group,metric,test,analysis,study,significant,r_mean
lh-cuneus,lh,0.052728393296479464,0.8531056356421808,0.10419728759099127,198.0,0.0,0,0.1970180519818301,0.0253568302882841,0.1287030809269326,198,baseline,0.1916509944868066,0.2025380862349479,0.15289441174414886,0.14872934620703593,0.15717819377045697,6.32200033401427e-06,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-cuneus,rh,0.2585859023844587,0.6428844614619719,0.1290965089831443,198.0,0.0,0,0.2032276300375505,0.0250979733701402,0.1234968560402089,198,baseline,0.1976914146297892,0.208921643696211,0.1422251751062103,0.13835075504999517,0.14621002740956346,1.4957320838578147e-07,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-eTIV,lh,5.582752669966903,0.019127772135261886,3.984343585182257e-05,198.0,1.0,26,0.0006775018545617,114.82821427547876,169487.675203119,198,baseline,0.0006590457213808,0.0006964840412503,3.394383443177297e-05,3.3019155149015126e-05,3.489486976514144e-05,1.0,simulated,cortical thickness,F,Group differences,cross-sectional,True,
rh-eTIV,rh,5.582752669966903,0.019127772135261886,3.984343585182257e-05,198.0,1.0,26,0.0006775018545617,114.82821427547876,169487.675203119,198,baseline,0.0006590457213808,0.0006964840412503,3.394383443177297e-05,3.3019155149015126e-05,3.489486976514144e-05,1.0,simulated,cortical thickness,F,Group differences,cross-sectional,True,
lh-entorhinal,lh,5.526979184441223,0.0241353593213446,0.01481860647010499,198.0,0.9615384615384616,25,0.3232811168835274,0.0904751915152451,0.2798653765720617,198,baseline,0.3144744703660329,0.332338778456325,0.01664450194087573,0.016191081566478006,0.017110846115511027,0.9213284179411375,simulated,cortical thickness,F,Group differences,cross-sectional,True,
rh-entorhinal,rh,5.425284923816262,0.02882076489300933,0.0226756421470555,198.0,0.7692307692307693,20,0.2930034707560335,0.0869979368598532,0.2969177690468085,198,baseline,0.2850216312343732,0.3012128159332199,0.015854774848176878,0.0154228677852207,0.01629899251938539,0.8986978517826649,simulated,cortical thickness,F,Group differences,cross-sectional,True,
lh-frontalpole,lh,2.6026160203296267,0.13355445667493934,0.08642024963874968,198.0,0.11538461538461539,3,0.3122952330720796,0.06998337337227,0.2240936330786624,198,baseline,0.303787857963761,0.3210450931295848,0.06786604914062346,0.06601727952771806,0.06976751406788081,0.0799213819586709,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-frontalpole,rh,0.817753552601148,0.4188784464979988,0.16803909179171433,198.0,0.0,0,0.3029653322417012,0.0685454790920794,0.2262485895164893,198,baseline,0.2947121171642823,0.3114537879677564,0.16020734450462942,0.1558430640722927,0.16469601963044053,0.0010196043504860821,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-fusiform,lh,1.881965150756391,0.1896806601353941,0.08545474512227724,198.0,0.0,0,0.2094702334566952,0.0234991115572109,0.1121835363880902,198,baseline,0.2037639604773959,0.2153391518225928,0.06512177163948799,0.0633477601260701,0.06694634764385757,0.0022313187752542527,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-fusiform,rh,1.4513593134365632,0.24254652231796453,0.0678435058615487,198.0,0.0,0,0.2164411357765828,0.0239880412448812,0.1108294001452774,198,baseline,0.2105449653073496,0.222505364263527,0.08339430602345173,0.08112252417055464,0.08573084027061248,0.0007732441912053386,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-inferiorparietal,lh,0.46747042194000815,0.511624111191982,0.10386874751350829,198.0,0.0,0,0.1434278205124737,0.0153968492927276,0.1073491128688566,198,baseline,0.1395206386510503,0.1474463684278287,0.09039049590748735,0.08792812769473125,0.09292304878041724,6.057434951525721e-13,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-inferiorparietal,rh,0.029689842113003965,0.8959040551205593,0.08799435060001878,198.0,0.0,0,0.147671143868157,0.014622236156272,0.0990189130608145,198,baseline,0.1436483677239213,0.1518085808397929,0.11593330282741836,0.1127751115063504,0.11918151179226714,4.337400776758741e-08,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-inferiortemporal,lh,1.2734549127718653,0.2713264209630966,0.06878373252380876,198.0,0.0,0,0.1720700939199546,0.0231395195707984,0.1344772879682553,198,baseline,0.1673826549875685,0.176891138503539,0.0724541419138939,0.07048038599918043,0.07448415561630246,7.562935961427578e-06,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-inferiortemporal,rh,0.17670987044747968,0.6943230877737994,0.10137131094384262,198.0,0.0,0,0.1649550048370571,0.0219849185433251,0.1332782752790188,198,baseline,0.1604613912511608,0.1695766994876963,0.1202841903438168,0.1170074745361853,0.12365430208803226,1.2240566635050498e-10,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-insula,lh,3.967683344087069,0.05861352036368596,0.03338123291691323,198.0,0.46153846153846156,12,0.2878783825463663,0.0406132753566876,0.1410778919815086,198,baseline,0.2800361578610708,0.2959441334580374,0.03185955775600442,0.03099165719297241,0.0327521960108916,0.458071652324068,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-insula,rh,3.0524336847667093,0.10228728624689153,0.06850316041360109,198.0,0.19230769230769232,5,0.316354333211001,0.0442297827598517,0.1398108959372197,198,baseline,0.3077363823274957,0.3252179207750889,0.05501399064961656,0.05351532975089641,0.05655536774543006,0.16667357141969769,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-isthmuscingulate,lh,0.10489289100441666,0.7889862071597946,0.13492805737825714,198.0,0.0,0,0.223115296754404,0.0305233265785933,0.1368051721356971,198,baseline,0.2170373124597944,0.2293665212898716,0.1686688492705103,0.16407406517561024,0.17339459808409127,1.0963607298455744e-05,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-isthmuscingulate,rh,0.25679266732486006,0.6696762769873837,0.1800708916645456,198.0,0.0,0,0.2196327768476729,0.0315758316890172,0.1437664821353908,198,baseline,0.2136496614464413,0.2257864284502091,0.15384441368009674,0.1496534687123462,0.1581548127761313,9.249493759470808e-07,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-lateraloccipital,lh,1.6157889700608907,0.20926519302173135,0.03731141421813449,198.0,0.0,0,0.135391430450438,0.0158067823020489,0.1167487650397135,198,baseline,0.13170317151045,0.1391848155039759,0.04805934011616793,0.0467501339851472,0.04940586243204155,2.1453150704435817e-06,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-lateraloccipital,rh,0.14943774224396006,0.7136096502628401,0.08478732182499764,198.0,0.0,0,0.1417215373640318,0.01618848310488,0.1142274025951157,198,baseline,0.1378608371304002,0.1456922787899298,0.10476735652308827,0.10191334177466863,0.107702718997738,8.178939290672105e-14,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-lateralorbitofrontal,lh,7.040414154559304,0.011320963002683473,0.008118943233119652,198.0,1.0,26,0.235290077498228,0.0242020283044246,0.102860386471703,198,baseline,0.228880434517604,0.2418824139574716,0.005796348000878519,0.00563844707419212,0.005958749563506858,0.9999707777292418,simulated,cortical thickness,F,Group differences,cross-sectional,True,
rh-lateralorbitofrontal,rh,0.3487952925212744,0.6119651877521758,0.17884500112426063,198.0,0.0,0,0.2758718547164805,0.030999574401169,0.1123694710829705,198,baseline,0.2683567052637862,0.2836012077995501,0.18452007237352616,0.17949347797035967,0.1896899393458358,0.00011160329080458146,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-lingual,lh,0.05599509425001852,0.8477113553533584,0.1045830310273905,198.0,0.0,0,0.2274190371013105,0.0263470611292347,0.115852487395317,198,baseline,0.2212238126774176,0.2337908434509443,0.17619746915250498,0.17139759453235417,0.18113415416817147,0.00010416609555363783,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-lingual,rh,0.09259171604178351,0.8113621280019279,0.1380780569824909,198.0,0.0,0,0.2359538292339235,0.0281028006578953,0.1191029649704662,198,baseline,0.2295261046933,0.2425647626302485,0.1794799269469113,0.17459063341549652,0.18450857957304434,6.025625397672307e-05,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-medialorbitofrontal,lh,0.16621151023572234,0.7364567054421018,0.16133561809471747,198.0,0.0,0,0.310921824997338,0.0305518871570613,0.0982622791350298,198,baseline,0.3024518635169947,0.3196332050295875,0.22792054868202086,0.22171166235526668,0.23430640633850702,0.0014942854412354244,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-medialorbitofrontal,rh,2.1001565715383483,0.17378926673533623,0.09928544116966052,198.0,0.0,0,0.2273246586296694,0.0277528416123505,0.122084607009406,198,baseline,0.2211320052122325,0.233693820691681,0.06340237979498009,0.06167520700924793,0.06517878203161247,0.005710066387596661,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-middletemporal,lh,0.4512445157328847,0.5198239347731024,0.10875248886020841,198.0,0.0,0,0.1619804787263669,0.0199205968462337,0.1229814666734352,198,baseline,0.1575678955460396,0.1665188333690593,0.1029165116534244,0.10011291660375786,0.10580001732117247,1.6777269932083293e-10,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-middletemporal,rh,0.08132075861049047,0.8048525400321557,0.10622456163204892,198.0,0.0,0,0.1445521681524137,0.0171891517713044,0.118913136973362,198,baseline,0.1406143574305015,0.1486022179399193,0.11057888405142068,0.10756655486397015,0.11367707338734855,7.073272379067684e-12,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-paracentral,lh,8.761959799361591,0.004090714941418284,0.002145891692907499,198.0,1.0,26,0.1992806988584668,0.0285619234855335,0.1433250869208302,198,baseline,0.193852003580734,0.2048641277504825,0.002136558074153796,0.002078355133306031,0.0021964199682009064,0.9999999999999999,simulated,cortical thickness,F,Group differences,cross-sectional,True,
rh-paracentral,rh,3.6693112926145943,0.06075647246728488,0.022492362396612245,198.0,0.34615384615384615,9,0.1915104463161928,0.0279598431376649,0.1459964387086326,198,baseline,0.1862934239878458,0.1968761689637437,0.02455325094291106,0.023884384774685526,0.02524118174349966,0.3697704723182731,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-parahippocampal,lh,0.6234400962369391,0.4487716743604555,0.10019861774084175,198.0,0.0,0,0.1427667535631283,0.0319809077660166,0.2240080898938095,198,baseline,0.1388775801242302,0.146766779763507,0.08320904363066683,0.08094230859405759,0.08554038721258801,3.905560037093145e-12,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-parahippocampal,rh,3.2149262439048525,0.0836326249749246,0.03599738925595126,198.0,0.2692307692307692,7,0.1593007639693068,0.0296399923296067,0.1860630896617519,198,baseline,0.1549611801056754,0.1637640386023314,0.025562699709403853,0.024866334692653785,0.026278913155728504,0.07711297686181415,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-parsopercularis,lh,0.07528528315950324,0.8238100336471662,0.12226412300830986,198.0,0.0,0,0.1585720129850726,0.0184392964469269,0.1162834229055462,198,baseline,0.1542522813552471,0.1630148695378527,0.12167204774675054,0.11835752469048617,0.12508104435621348,1.2661000812154087e-09,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-parsopercularis,rh,1.2491349648206933,0.27316267283087875,0.06155204230663751,198.0,0.0,0,0.1689094149946254,0.0201791827696122,0.1194674836228304,198,baseline,0.164308077540479,0.1736419039572632,0.07199225281866621,0.07003107943284016,0.07400932535349566,5.491795723951135e-06,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-parsorbitalis,lh,4.290291429936572,0.044958778212839286,0.022577251719264127,198.0,0.7307692307692307,19,0.2346186166761667,0.0357980218489565,0.1525796305344638,198,baseline,0.2282272652622362,0.2411921402058329,0.02215257046560412,0.021549102315576805,0.022773239214151177,0.6462277721062677,simulated,cortical thickness,F,Group differences,cross-sectional,True,
rh-parsorbitalis,rh,2.8259864033510715,0.10837349289823568,0.05337622732437316,198.0,0.15384615384615385,4,0.2544833944230488,0.036412573500585,0.143084280933684,198,baseline,0.2475508976510107,0.2616134875283977,0.04950586676842672,0.04815725515332645,0.050892917739356044,0.09733165384142431,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-parstriangularis,lh,1.7174489064275429,0.20025949007106855,0.054848272339252345,198.0,0.0,0,0.1776335995289247,0.021651503211038,0.1218885575052058,198,baseline,0.1727946026343272,0.1826105219177153,0.059939107137519924,0.058306278922178954,0.06161847570893856,0.0003406293984228678,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-parstriangularis,rh,0.4634660155364717,0.5352405471132353,0.15331082341427468,198.0,0.0,0,0.214009742627133,0.0239994915447305,0.1121420513389647,198,baseline,0.2081798068338334,0.2200058485571198,0.13514338804721632,0.13146188614205795,0.13892982347076738,8.208151229483481e-07,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-pericalcarine,lh,1.5448925370183146,0.23291389827198372,0.08421126150500038,198.0,0.0,0,0.2427822143863982,0.0383516949031265,0.1579674812673393,198,baseline,0.2361684747301909,0.2495844648704519,0.08927989983482137,0.08684778586991616,0.09178133612578926,0.002904124058719368,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-pericalcarine,rh,0.11544603553729063,0.7995065875077861,0.1605866147998996,198.0,0.0,0,0.275804706311696,0.0414006769610842,0.1501086675232292,198,baseline,0.2682913860789415,0.283532178036734,0.20739836535617057,0.20174853306900975,0.2132092343059472,0.000605334740396401,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-postcentral,lh,0.7362672231593904,0.41059445190320176,0.10615803722444762,198.0,0.0,0,0.1933703439871452,0.0200029438392893,0.1034436999327004,198,baseline,0.1881026553486076,0.1987881770821788,0.1065108222941581,0.10360931300937588,0.10949503303767777,8.312044734339233e-07,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-postcentral,rh,2.194142849137133,0.14707086595825986,0.042344928153440674,198.0,0.0,0,0.1867384005087614,0.0209784147400103,0.1123411932567459,198,baseline,0.1816513756296823,0.191970420401415,0.049705077938921066,0.04835103952259655,0.051097710390702884,0.006834040012922858,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-posteriorcingulate,lh,0.05489358010190005,0.8521811780031805,0.10910602842936629,198.0,0.0,0,0.2156263418968833,0.0254205623137055,0.1178917292297347,198,baseline,0.2097523675947269,0.2216677415613925,0.1671533158935253,0.1625998171259752,0.1718366026277763,4.345521896118278e-05,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-posteriorcingulate,rh,0.23339518368520043,0.6589933871211469,0.1233202788837716,198.0,0.0,0,0.2305960315665895,0.0256815625954235,0.1113703580280714,198,baseline,0.2243142612054842,0.2370568506645166,0.1634317584815917,0.15897964033576611,0.16801077495135588,4.87479609283681e-06,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-precentral,lh,3.782877724005393,0.06213610211154626,0.03142067662858819,198.0,0.4230769230769231,11,0.2064935031598671,0.0282968294944956,0.1370349626573397,198,baseline,0.2008683206313643,0.2122790197611269,0.025031999893460624,0.024350091909434785,0.02573334423955479,0.34993920078155083,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-precentral,rh,3.0412126826710573,0.08812020568969985,0.030220402074875564,198.0,0.07692307692307693,2,0.1867640449233004,0.0271037228968972,0.1451228094145645,198,baseline,0.1816763214531741,0.1919967833188792,0.0326591168052416,0.031769435094011464,0.03357415703443916,0.10622868554333553,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-precuneus,lh,0.9894061653209434,0.3270371631413384,0.055790196632909565,198.0,0.0,0,0.1300768689865769,0.0140968365355777,0.108373123103328,198,baseline,0.1265333864092139,0.1337213511298195,0.06312444872063401,0.06140484718048399,0.06489306390915092,9.002301414875031e-11,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-precuneus,rh,1.1187652326579416,0.2996003942633484,0.06250025023337345,198.0,0.0,0,0.1389102461928539,0.0133017367462373,0.0957577796512581,198,baseline,0.1351261296082798,0.1428022211128186,0.06319016240614053,0.061468770729884846,0.06496061875485189,5.890812288070472e-09,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-rostralanteriorcingulate,lh,0.1647646203677737,0.7407089822902455,0.16657092271576573,198.0,0.0,0,0.2799230980366375,0.0481733188395677,0.172094833107565,198,baseline,0.2722975868398954,0.2877659584946406,0.2053461292276704,0.19975220282925543,0.21109949880817175,0.0003274715342889869,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-rostralanteriorcingulate,rh,0.518160967005668,0.4996816467794032,0.12943106541030008,198.0,0.0,0,0.2623093035628216,0.043211901131267,0.1647364410805888,198,baseline,0.2551636176749564,0.2696586622942327,0.16116384744268247,0.15677351048298163,0.16567932178271863,0.00011231481953914371,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-rostralmiddlefrontal,lh,1.7436936816977318,0.19580209972177373,0.05117797131657366,198.0,0.0,0,0.1761126443209645,0.0167000260550955,0.0948258208232897,198,baseline,0.1713150804522565,0.1810469527220471,0.05865398936828333,0.05705616962493761,0.060297351624371366,0.00039509297609759906,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-rostralmiddlefrontal,rh,2.010667103984994,0.1645653202740118,0.044632529857713925,198.0,0.0,0,0.1684487265025716,0.0177575939958696,0.1054183926739185,198,baseline,0.1638599388711408,0.1731683079360233,0.04911980313801577,0.04778170845616253,0.05049603741249361,0.0011340052717975697,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-superiorfrontal,lh,0.6865324821062604,0.4142629777037013,0.06099143414327443,198.0,0.0,0,0.1233684262137408,0.0144842963486267,0.1174068340916667,198,baseline,0.1200076913475734,0.126824951804177,0.06966639523622342,0.06776858158441486,0.07161830210022319,1.8620606500338357e-14,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-superiorfrontal,rh,1.9189813335473755,0.17469264273422086,0.04617660113321592,198.0,0.0,0,0.1346793007918452,0.0150473900449196,0.1117275628582025,198,baseline,0.1310104412966449,0.1384527334599619,0.04110578905328729,0.03998600773879308,0.04225748739408963,2.263204768536577e-05,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-superiorparietal,lh,0.2567460065286044,0.623954696303422,0.08052594193058116,198.0,0.0,0,0.1107131851846228,0.0116114487483578,0.1048786441198932,198,baseline,0.1076971974395106,0.1138151373577529,0.07755219497600743,0.07543956070156081,0.07972504547557238,3.065098613076069e-22,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-superiorparietal,rh,0.23102055442436983,0.6369047448650412,0.05684657033594086,198.0,0.0,0,0.1104805586522755,0.0111087881798679,0.1005497104230942,198,baseline,0.1074709079913109,0.1135759931159175,0.07839495724109022,0.07625936490018309,0.08059142017882368,3.176967624815786e-22,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-superiortemporal,lh,0.8300087996803073,0.37088588602607764,0.063693663001692,198.0,0.0,0,0.1241350005146594,0.0168956877851795,0.1361073646846628,198,baseline,0.1207533830526798,0.127613003915662,0.06524093643307546,0.0634636786978412,0.06706885118603054,3.9506418068734394e-13,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-superiortemporal,rh,1.7469203809196192,0.19114913708043335,0.0320538507619385,198.0,0.0,0,0.1140813196589107,0.0156089630677289,0.136823128575282,198,baseline,0.1109735790455074,0.1172776399241022,0.03793355105296135,0.036900186102675314,0.03899636991168224,1.534230629010675e-07,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-supramarginal,lh,0.513131677875469,0.48922341525618684,0.09342611218481324,198.0,0.0,0,0.1449302661052451,0.0153438602761511,0.1058706417126754,198,baseline,0.1409821554466966,0.1489909094075564,0.08927046207919614,0.08683860521244284,0.09177163394396654,2.383868653828762e-12,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-supramarginal,rh,0.17847967635244505,0.691934139231948,0.10088936885415836,198.0,0.0,0,0.1380360798578665,0.0148051391253896,0.1072555750687377,198,baseline,0.1342757768321663,0.1419035624632259,0.10056567343270784,0.09782611862587781,0.10338331352432542,9.341306646713599e-15,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-temporalpole,lh,2.3446049797644855,0.16655149510060593,0.1317102055433338,198.0,0.038461538461538464,1,0.374971175118182,0.1024662729964699,0.2732643994946411,198,baseline,0.364756416442051,0.3854770841440976,0.0926189086012782,0.09009583519460763,0.09521389694281655,0.06976499653041858,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-temporalpole,rh,0.3873525578922269,0.5941851150013249,0.18107227235617876,198.0,0.0,0,0.2771055250454299,0.0862567596981743,0.3112776610427851,198,baseline,0.2695567686236342,0.284869442994025,0.181795082202671,0.17684272048414046,0.18688860064279678,0.00011291327892824267,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-transversetemporal,lh,0.30625260374331176,0.6160445460321232,0.1452255979376153,198.0,0.0,0,0.1959993949343753,0.0359426479185095,0.1833814228382893,198,baseline,0.1906600871348056,0.2014908885449603,0.1339245832087865,0.13027628331520663,0.13767687026680295,4.268358358238818e-08,simulated,cortical thickness,F,Group differences,cross-sectional,False,
rh-transversetemporal,rh,0.06560634863571477,0.8243598528394227,0.09765798253606411,198.0,0.0,0,0.1934608292885966,0.036090339253221,0.1865511451901357,198,baseline,0.1881906756992057,0.1988811975927565,0.14916568973063868,0.14510219998938886,0.15334500075529042,1.154428656124321e-06,simulated,cortical thickness,F,Group differences,cross-sectional,False,
lh-BrainSegVolNotVent,lh,13.853404846478462,0.00026049495427774065,2.958355339322291e-05,198.0,1.0,26,0.0254340503680745,2748.4335500323227,108061.18216555168,198,baseline,0.0247411899459779,0.0261466593285988,2.958355339322291e-05,2.357608160296941e-05,2.491536483580891e-05,1.0,sampled,cortical thickness,F,Group differences,cross-sectional,True,
rh-BrainSegVolNotVent,rh,13.853404846478462,0.00026049495427774065,2.958355339322291e-05,198.0,1.0,26,0.0254340503680745,2748.4335500323227,108061.18216555168,198,baseline,0.0247411899459779,0.0261466593285988,2.958355339322291e-05,2.357608160296941e-05,2.491536483580891e-05,1.0,sampled,cortical thickness,F,Group differences,cross-sectional,True,
lh-MeanThickness,lh,0.990287699567737,0.32493165474714786,0.045853861583045864,198.0,0.0,0,0.1033113797561314,0.0085827979585901,0.0830769851186776,198,baseline,0.1004970279266223,0.1062059488032525,0.045853861583045864,0.0487482813954251,0.05151751832809724,7.611975953091824e-19,sampled,cortical thickness,F,Group differences,cross-sectional,False,
rh-MeanThickness,rh,1.3789249060653124,0.2439799409428349,0.030755640738831833,198.0,0.0,0,0.0932746888094485,0.0077518741491588,0.0831080140615129,198,baseline,0.0907337509987502,0.0958880507425192,0.030755640738831833,0.036246130311115496,0.0383051592625117,5.80594442027517e-20,sampled,cortical thickness,F,Group differences,cross-sectional,False,
lh-bankssts,lh,0.39637212602085836,0.5471198784656855,0.10260140487472036,198.0,0.0,0,0.1708186971006415,0.0229082455813996,0.134108537122858,198,baseline,0.1661653480326651,0.1756046801594703,0.10260140487472036,0.10852076067755609,0.11468548463966413,2.4420299504800807e-11,sampled,cortical thickness,F,Group differences,cross-sectional,False,
rh-bankssts,rh,0.02882654076980187,0.8927900271679579,0.08026278148938809,198.0,0.0,0,0.1524478784293307,0.0216102563134539,0.1417550479291957,198,baseline,0.1482949771073745,0.1567191495249492,0.08026278148938809,0.11647357170374598,0.12309006991064522,3.0834977075166864e-16,sampled,cortical thickness,F,Group differences,cross-sectional,False,
lh-caudalanteriorcingulate,lh,0.7530386346593736,0.40580999266626055,0.10646525334913978,198.0,0.0,0,0.2185208476874954,0.040465521022327,0.1851792240903091,198,baseline,0.2125680228493519,0.2246433453577422,0.10646525334913978,0.11610615846272558,0.12270178507605349,1.1181913597246484e-06,sampled,cortical thickness,F,Group differences,cross-sectional,False,
rh-caudalanteriorcingulate,rh,0.09306939435680892,0.8067611835555211,0.13376617210025038,198.0,0.0,0,0.2244641881876472,0.0358549046579988,0.1597355237265061,198,baseline,0.2183494581339362,0.2307532058432901,0.13376617210025038,0.16604919375867586,0.17548192752557557,2.2986995207670344e-08,sampled,cortical thickness,F,Group differences,cross-sectional,False,
